ecosystem,source_id,source_name,title,url,published,cves,severity_guess,risk_score_guess,summary
Docker,github_advisories_containers,GitHub Advisories (containers),GitHub Advisory Database · GitHub,https://github.com/advisories?query=container,,"CVE-2023-54047,CVE-2025-26787,CVE-2025-68697",CRITICAL,10.0,"GitHub Advisory Database · GitHub GitHub Advisory Database · GitHub Skip to content Navigation Menu Toggle navigation Sign in Appearance settings GitHub Advisory Database Platform AI CODE CREATION GitHub Copilot Write better code with AI GitHub Spark Build and deploy intelligent apps GitHub Models Manage and compare prompts MCP Registry New Integrate external tools DEVELOPER WORKFLOWS Actions Automate any workflow Codespaces Instant dev environments Issues Plan and track work Code Review Manage code changes APPLICATION SECURITY GitHub Advanced Security Find and fix vulnerabilities Code security Secure your code as you build Secret protection Stop leaks before they start EXPLORE Why GitHub Documentation Blog Changelog Marketplace View all features Solutions BY COMPANY SIZE Enterprises Small and medium teams Startups Nonprofits BY USE CASE App Modernization DevSecOps DevOps CI/CD View all use cases BY INDUSTRY Healthcare Financial services Manufacturing Government View all industries View all solutions Resources EXPLORE BY TOPIC AI Software Development DevOps Security View all topics EXPLORE BY TYPE Customer stories Events & webinars Ebooks & reports Business insights GitHub Skills SUPPORT & SERVICES Documentation Customer support Community forum Trust center Partners Open Source COMMUNITY GitHub Sponsors Fund open source developers PROGRAMS Security Lab Maintainer Community Accelerator Archive Program REPOSITORIES Topics Trending Collections Enterprise ENTERPRISE SOLUTIONS Enterprise platform AI-powered developer platform AVAILABLE ADD-ONS GitHub Advanced Security Enterprise-grade security features Copilot for Business Enterprise-grade AI features Premium Support Enterprise-grade 24/7 support Pricing Search or jump to... Search code, repositories, users, issues, pull requests... Search Clear Search syntax tips Provide feedback We read every piece of feedback, and take your input very seriously. Include my email address so I can be contacted Cancel Submit feedback Saved searches Use saved searches to filter your results more quickly Name Query To see all available qualifiers, see our documentation ."
Kubernetes,github_advisories_kubernetes,GitHub Advisories (kubernetes),GitHub Advisory Database · GitHub,https://github.com/advisories?query=kubernetes,,"CVE-2025-13281,CVE-2025-13877,CVE-2025-68476",CRITICAL,10.0,"GitHub Advisory Database · GitHub GitHub Advisory Database · GitHub Skip to content Navigation Menu Toggle navigation Sign in Appearance settings GitHub Advisory Database Platform AI CODE CREATION GitHub Copilot Write better code with AI GitHub Spark Build and deploy intelligent apps GitHub Models Manage and compare prompts MCP Registry New Integrate external tools DEVELOPER WORKFLOWS Actions Automate any workflow Codespaces Instant dev environments Issues Plan and track work Code Review Manage code changes APPLICATION SECURITY GitHub Advanced Security Find and fix vulnerabilities Code security Secure your code as you build Secret protection Stop leaks before they start EXPLORE Why GitHub Documentation Blog Changelog Marketplace View all features Solutions BY COMPANY SIZE Enterprises Small and medium teams Startups Nonprofits BY USE CASE App Modernization DevSecOps DevOps CI/CD View all use cases BY INDUSTRY Healthcare Financial services Manufacturing Government View all industries View all solutions Resources EXPLORE BY TOPIC AI Software Development DevOps Security View all topics EXPLORE BY TYPE Customer stories Events & webinars Ebooks & reports Business insights GitHub Skills SUPPORT & SERVICES Documentation Customer support Community forum Trust center Partners Open Source COMMUNITY GitHub Sponsors Fund open source developers PROGRAMS Security Lab Maintainer Community Accelerator Archive Program REPOSITORIES Topics Trending Collections Enterprise ENTERPRISE SOLUTIONS Enterprise platform AI-powered developer platform AVAILABLE ADD-ONS GitHub Advanced Security Enterprise-grade security features Copilot for Business Enterprise-grade AI features Premium Support Enterprise-grade 24/7 support Pricing Search or jump to... Search code, repositories, users, issues, pull requests... Search Clear Search syntax tips Provide feedback We read every piece of feedback, and take your input very seriously. Include my email address so I can be contacted Cancel Submit feedback Saved searches Use saved searches to filter your results more quickly Name Query To see all available qualifiers, see our documentation ."
Kubernetes,k8s_blog,Kubernetes Blog,Introducing Gateway API Inference Extension,https://kubernetes.io/blog/2025/06/05/introducing-gateway-api-inference-extension/,2025-06-05,,CRITICAL,6.0,"Introducing Gateway API Inference Extension <p>Modern generative AI and large language model (LLM) services create unique traffic-routing challenges on Kubernetes. Unlike typical short-lived, stateless web requests, LLM inference sessions are often long-running, resource-intensive, and partially stateful."
Kubernetes,k8s_blog,Kubernetes Blog,Kubernetes v1.35: Timbernetes (The World Tree Release),https://kubernetes.io/blog/2025/12/17/kubernetes-v1-35-release/,2025-12-17,,CRITICAL,6.0,"Kubernetes v1.35: Timbernetes (The World Tree Release) <p><strong>Editors</strong>: Aakanksha Bhende, Arujjwal Negi, Chad M. Crowell, Graziano Casto, Swathi Rao</p> <p>Similar to previous releases, the release of Kubernetes v1.35 introduces new stable, beta, and alpha features. The consistent delivery of high-quality releases underscores the strength of our development cycle and the vibrant support from our community.</p> <p>This release consists of 60 enhancements, including 17 stable, 19 beta, and 22 alpha features.</p> <p>There are also some <a href=""#deprecations-removals-and-community-updates"">deprecations and removals</a> in this release; make sure to read about those.</p> <h2 id=""release-theme-and-logo"">Release theme and logo</h2> <figure class=""release-logo ""> <img src=""https://kubernetes.io/blog/2025/12/17/kubernetes-v1-35-release/k8s-v1.35.png"" alt=""Kubernetes v1.35 Timbernetes logo: a storybook hex badge with a glowing world tree whose branches cradle Earth and a white Kubernetes wheel; three cheerful squirrels stand below—a wizard in a plum robe holding an LGTM scroll, a warrior with an axe and blue Kubernetes shield, and a lantern-carrying rogue in a navy cloak—on green grass above a gold ribbon reading World Tree Release, backed by soft mountains and cloud-swept sky""/> </figure> <p>2025 began in the shimmer of Octarine: The Color of Magic (v1.33) and rode the gusts Of Wind &amp; Will (v1.34)."
Kubernetes,k8s_blog,Kubernetes Blog,Announcing etcd v3.6.0,https://kubernetes.io/blog/2025/05/15/announcing-etcd-3.6/,2025-05-15,,CRITICAL,6.0,"Announcing etcd v3.6.0 <p><em>This announcement originally <a href=""https://etcd.io/blog/2025/announcing-etcd-3.6/"">appeared</a> on the etcd blog.</em></p> <p>Today, we are releasing <a href=""https://github.com/etcd-io/etcd/releases/tag/v3.6.0"">etcd v3.6.0</a>, the first minor release since etcd v3.5.0 on June 15, 2021. This release introduces several new features, makes significant progress on long-standing efforts like downgrade support and migration to v3store, and addresses numerous critical &amp; major issues."
Docker,moby_security,Moby Security,Security Advisories · moby/moby · GitHub,https://github.com/moby/moby/security/advisories,,,CRITICAL,5.5,"Security Advisories · moby/moby · GitHub Security Advisories · moby/moby · GitHub Skip to content Navigation Menu Toggle navigation Sign in Appearance settings Platform AI CODE CREATION GitHub Copilot Write better code with AI GitHub Spark Build and deploy intelligent apps GitHub Models Manage and compare prompts MCP Registry New Integrate external tools DEVELOPER WORKFLOWS Actions Automate any workflow Codespaces Instant dev environments Issues Plan and track work Code Review Manage code changes APPLICATION SECURITY GitHub Advanced Security Find and fix vulnerabilities Code security Secure your code as you build Secret protection Stop leaks before they start EXPLORE Why GitHub Documentation Blog Changelog Marketplace View all features Solutions BY COMPANY SIZE Enterprises Small and medium teams Startups Nonprofits BY USE CASE App Modernization DevSecOps DevOps CI/CD View all use cases BY INDUSTRY Healthcare Financial services Manufacturing Government View all industries View all solutions Resources EXPLORE BY TOPIC AI Software Development DevOps Security View all topics EXPLORE BY TYPE Customer stories Events & webinars Ebooks & reports Business insights GitHub Skills SUPPORT & SERVICES Documentation Customer support Community forum Trust center Partners Open Source COMMUNITY GitHub Sponsors Fund open source developers PROGRAMS Security Lab Maintainer Community Accelerator Archive Program REPOSITORIES Topics Trending Collections Enterprise ENTERPRISE SOLUTIONS Enterprise platform AI-powered developer platform AVAILABLE ADD-ONS GitHub Advanced Security Enterprise-grade security features Copilot for Business Enterprise-grade AI features Premium Support Enterprise-grade 24/7 support Pricing Search or jump to... Search code, repositories, users, issues, pull requests... Search Clear Search syntax tips Provide feedback We read every piece of feedback, and take your input very seriously. Include my email address so I can be contacted Cancel Submit feedback Saved searches Use saved searches to filter your results more quickly Name Query To see all available qualifiers, see our documentation ."
Docker,k8s_blog,Kubernetes Blog,Image Compatibility In Cloud Native Environments,https://kubernetes.io/blog/2025/06/25/image-compatibility-in-cloud-native-environments/,2025-06-25,,CRITICAL,5.5,"Image Compatibility In Cloud Native Environments <p>In industries where systems must run very reliably and meet strict performance criteria such as telecommunication, high-performance or AI computing, containerized applications often need specific operating system configuration or hardware presence. It is common practice to require the use of specific versions of the kernel, its configuration, device drivers, or system components."
Kubernetes,k8s_blog,Kubernetes Blog,Kubernetes v1.34 Sneak Peek,https://kubernetes.io/blog/2025/07/28/kubernetes-v1-34-sneak-peek/,2025-07-28,,CRITICAL,5.5,"Kubernetes v1.34 Sneak Peek <p>Kubernetes v1.34 is coming at the end of August 2025. This release will not include any removal or deprecation, but it is packed with an impressive number of enhancements."
Kubernetes,k8s_blog,Kubernetes Blog,Kubernetes v1.34: Finer-Grained Control Over Container Restarts,https://kubernetes.io/blog/2025/08/29/kubernetes-v1-34-per-container-restart-policy/,2025-08-29,,CRITICAL,5.5,"Kubernetes v1.34: Finer-Grained Control Over Container Restarts <p>With the release of Kubernetes 1.34, a new alpha feature is introduced that gives you more granular control over container restarts within a Pod. This feature, named <strong>Container Restart Policy and Rules</strong>, allows you to specify a restart policy for each container individually, overriding the Pod's global restart policy."
Kubernetes,k8s_blog,Kubernetes Blog,Navigating Failures in Pods With Devices,https://kubernetes.io/blog/2025/07/03/navigating-failures-in-pods-with-devices/,2025-07-03,,CRITICAL,5.5,"Navigating Failures in Pods With Devices <p>Kubernetes is the de facto standard for container orchestration, but when it comes to handling specialized hardware like GPUs and other accelerators, things get a bit complicated. This blog post dives into the challenges of managing failure modes when operating pods with devices in Kubernetes, based on insights from <a href=""https://sched.co/1i7pT"">Sergey Kanzhelev and Mrunal Patel's talk at KubeCon NA 2024</a>."
